"id","make","model","vin","year","serialNum"
"831739","Kenworth","T680","1XKYD49X1GJ117187","2016","87B112240049"
"831740","Kenworth","T680","1XKYDP9X3KJ240208","2019","87B011100190"
"831741","Kenworth","T680","1XKYDP9X5LJ312267","2020","88U111340023"
"831742","Kenworth","T680","1XKYDP9X2LJ312307","2020","88U111340006"
"831743","Kenworth","T680","1XKYDP9X3LJ312333","2020","87B112240030"
"831746","Kenworth","T680","1XKYDP9X3FJ446361","2015","87B010690037"
"831747","Kenworth","T680","1XKYDP9X0GJ482400","2016","87B010210213"
"831749","Peterbilt","579","1XPBDP9XXLD669460","2020","87B030330394"
"831750","Peterbilt","389","1XPXDP9X6JD460669","2018","87B030330319"
"833858","Kenworth","T680","1XKYD49XXGJ132920","2016","87A102380287"
"833859","Kenworth","T680","1XKYD49X7GJ132924","2016","87B013420021"
"833860","Kenworth","T680","1XKYDP9X7FJ422936","2015","87B013410021"
"833863","KEWORTH","T680","1XKYD49X4HJ162643","2017","87B013410663"
"833874","KENWORTH","T680","1XKYD49X6KJ229945","2019","87B013410560"
"833876","KENWORTH","T680","1XKYD49X6KJ245739","2019","87B013410659"
"835673","Kenworth","T680","1XKYD49XXJJ202293","2018","87B030310087"
"835693",,,"1XKYDP9X3LJ377375",NULL,"4C4000036037"
"835694",,,"1XKYDP9X9LJ372195",NULL,"87B031510012"
"835699","Peterbilt","579","1XPBD49X4ND781138","2022","88A110120110"
"1030057","Peterbilt","579","1XPBDP9X3LD651060","2020","87A102380075"
"1256346","Kenworth",,"1XKYDP9X7GJ125344","2016","87B030310081"
"1256349","Peterbilt",,"1XP7DB9X36D642954","2006","87B010690797"
"1256350","KENWORTH","T680","1XKYD49X5KJ253637","2019","87B013320182"
"1279975","Kenworth",,"1XKYD49X3HJ166375","2017","87B030600363"
"1279990",,,"1XPBDP9X6GD347582",NULL,"4C3000031441"
"1279996","Kenworth",,"1XKYD49X9GJ476724","2016","87B031220397"
"1280000","Kenworth",,"1XKYDP9X7FJ422824","2015","87B031110028"
"1496655","Peterbilt","T780","1XP4D49X5CD132647","2012","87B012790247"
"1496664","PTRBLT",,"1XPBDP9X4KD625890","2019","87B031580058"
"1496665","KW","T680","1XKYDP9X7KJ226120","2019","87B030330374"
"1773654","PETERBILT","579","1XPBD49X8HD409838","2017","87B010620367"
"1773656","Peterbilt","579","1XPBD49X6PD855405","2023","87B010620349"
"1773657","PETERBILT","579","1XPBDP9XXPD850483","2023","87B112220088"
"1773659","PETERBILT","579","1XPBDP9X1KD600591","2019","87B010620445"
"1773679","KW",,"1XKYD49X1MJ431109","2021","87A102380166"
"1773680","KW",,"1XKYD49X2PJ231604","2023","88A110360027"
